team,team_full
ANA,Anaheim Ducks
ARI,Arizona Coyottes
ATL,Atlanta Thrashers
BOS,Boston Bruins
BUF,Buffalo Sabres
CAR,Carolina Hurricanes
CBJ,Columbus Blue Jackets
CGY,Calgary Flames
CHI,Chicago Blackhawks
COL,Colorado Avalanche
DAL,Dallas Stars
DET,Detroit Red Wings
EDM,Edmonton Oilers
FLA,Florida Panthers
LAK,Los Angeles Kings
MDA,Mighty Ducks Of Anaheim
MIN,Minnesota Wild
MTL,Montreal Canadiens
NJD,New Jersey Devils
NSH,Nashville Predators
NYI,New York Islanders
NYR,New York Rangers
OTT,Ottawa Senators
PHI,Philadelphia Flyers
PHX,Phoenix Coyotes
PIT,Pittsburgh Penguins
SJS,San Jose Sharks
STL,St. Louis Blues
TBL,Tampa Bay Lightning
TOR,Toronto Maple Leafs
TOT,More teams in season total
VAN,Vancouver Canucks
VEG,Vegas Golden Knights
WPG,Washington Capitals
WSH,Winnipeg Jets
